,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked_C,Embarked_Q,Embarked_S
172,1,1,1,45.0,0,0,26.55,0,0,1
173,0,2,1,16.0,0,0,26.0,0,0,1
174,0,1,1,46.0,0,0,79.2,1,0,0
175,1,2,1,3.0,1,1,18.75,0,0,1
176,1,1,0,30.0,0,0,106.425,1,0,0
177,0,2,0,38.0,0,0,13.0,0,0,1
178,0,3,1,2.0,3,1,21.075,0,0,1
179,0,3,1,19.0,0,0,7.8958,0,0,1
180,0,3,1,16.0,1,3,34.375,0,0,1
181,1,1,0,56.0,0,1,83.1583,1,0,0
182,1,1,1,34.0,0,0,26.55,0,0,1
183,1,1,0,21.0,0,0,77.9583,0,0,1
184,0,2,1,39.0,0,0,13.0,0,0,1
185,1,3,1,20.0,0,0,7.2292,1,0,0
186,0,3,1,21.0,0,0,8.05,0,0,1
187,0,2,1,27.0,0,0,13.0,0,0,1
188,1,1,0,23.0,1,0,113.275,1,0,0
189,1,1,0,30.0,0,0,56.9292,1,0,0
190,0,2,1,39.0,0,0,26.0,0,0,1
191,1,1,1,23.0,0,1,63.3583,1,0,0
192,1,3,0,19.0,0,0,7.8792,0,1,0
193,0,3,1,24.0,0,0,9.5,0,0,1
194,0,2,1,27.0,0,0,13.0,0,0,1
195,0,3,1,18.0,1,1,7.8542,0,0,1
196,1,3,0,21.0,0,0,7.65,0,0,1
197,1,1,0,40.0,1,1,134.5,1,0,0
198,0,3,1,11.0,5,2,46.9,0,0,1
199,1,3,1,22.0,0,0,7.225,1,0,0
200,0,3,0,8.0,3,1,21.075,0,0,1
201,0,3,1,8.0,4,1,29.125,0,1,0
202,1,2,0,50.0,0,0,10.5,0,0,1
203,1,3,1,19.0,0,0,8.05,0,0,1
204,1,3,0,33.0,3,0,15.85,0,0,1
205,1,1,0,18.0,1,0,227.525,1,0,0
206,0,1,1,55.0,0,0,30.5,0,0,1
207,0,3,1,20.0,0,0,7.05,0,0,1
208,0,3,1,51.0,0,0,7.0542,0,0,1
209,0,3,0,31.0,0,0,7.8542,0,0,1
210,1,1,1,27.0,1,0,53.1,0,0,1
211,0,3,1,23.0,0,0,7.8542,0,0,1
212,0,3,1,27.0,0,0,7.8958,0,0,1
213,0,3,1,20.0,0,0,4.0125,1,0,0
214,1,2,1,0.67,1,1,14.5,0,0,1
215,0,3,1,21.0,0,0,7.925,0,0,1
216,0,3,1,47.0,0,0,9.0,0,0,1
217,0,3,1,25.0,0,0,7.7417,0,1,0
218,0,3,1,40.5,0,0,7.75,0,1,0
219,0,1,1,39.0,0,0,0.0,0,0,1
220,0,3,1,59.0,0,0,7.25,0,0,1
221,0,3,1,28.0,0,0,7.7958,0,0,1
222,0,3,1,25.0,1,0,17.8,0,0,1
223,1,2,0,31.0,1,1,26.25,0,0,1
224,0,3,0,2.0,4,2,31.275,0,0,1
225,0,3,1,25.0,0,0,7.25,0,0,1
226,0,3,1,35.0,0,0,8.05,0,0,1
227,0,3,1,30.0,0,0,8.05,0,0,1
228,0,1,1,36.0,0,0,40.125,1,0,0
229,1,3,0,16.0,0,0,7.75,0,1,0
230,0,2,1,52.0,0,0,13.5,0,0,1
231,0,3,1,19.0,0,0,8.1583,0,0,1
232,0,3,1,26.0,0,0,8.05,0,0,1
233,1,3,0,15.0,0,0,7.225,1,0,0
234,0,3,1,44.0,0,0,8.05,0,0,1
235,0,1,1,40.0,0,0,0.0,0,0,1
236,1,1,0,35.0,0,0,512.3292,1,0,0
237,0,3,0,45.0,0,1,14.4542,1,0,0
238,1,3,0,31.0,0,0,8.6833,0,0,1
239,0,3,0,2.0,3,2,27.9,0,0,1
240,0,3,1,32.0,1,0,15.85,0,0,1
241,0,3,1,19.0,0,0,8.05,0,0,1
242,0,3,1,28.0,0,0,9.5,0,0,1
243,1,3,0,15.0,0,0,8.0292,0,1,0
244,1,1,0,19.0,1,0,91.0792,1,0,0
245,0,3,0,21.0,1,0,9.825,0,0,1
246,0,3,1,24.0,2,0,24.15,0,0,1
247,1,1,0,31.0,0,2,164.8667,0,0,1
248,1,2,0,32.0,0,0,13.0,0,0,1
249,1,1,0,58.0,0,0,26.55,0,0,1
250,1,1,1,35.0,0,0,512.3292,1,0,0
251,1,3,1,3.0,4,2,31.3875,0,0,1
252,0,1,1,31.0,1,0,52.0,0,0,1
253,1,1,1,0.92,1,2,151.55,0,0,1
254,0,3,1,24.0,0,0,7.7958,0,0,1
255,1,2,0,36.0,1,0,26.0,0,0,1
256,1,2,0,36.0,0,0,13.0,0,0,1
257,0,3,1,44.0,0,1,16.1,0,0,1
258,1,1,0,21.0,2,2,262.375,1,0,0
259,0,1,1,52.0,1,1,79.65,0,0,1
260,0,2,1,37.0,1,0,26.0,0,0,1
261,0,2,1,28.0,0,1,33.0,0,0,1
262,0,3,1,37.0,2,0,7.925,0,0,1
263,0,2,1,42.0,1,0,27.0,0,0,1
264,1,1,0,38.0,1,0,71.2833,1,0,0
265,0,3,0,9.0,3,2,27.9,0,0,1
266,0,2,1,23.0,0,0,13.0,0,0,1
267,0,3,1,22.0,0,0,7.7958,0,0,1
268,1,2,1,3.0,1,1,26.0,0,0,1
269,1,1,0,19.0,0,0,30.0,0,0,1
270,1,1,0,39.0,1,1,79.65,0,0,1
271,1,1,1,4.0,0,2,81.8583,0,0,1
272,0,3,1,2.0,4,1,29.125,0,1,0
273,0,3,1,33.0,0,0,8.6542,0,0,1
274,0,3,0,18.0,1,0,17.8,0,0,1
275,0,2,1,32.0,0,0,10.5,0,0,1
276,0,3,1,28.5,0,0,16.1,0,0,1
277,1,2,0,8.0,0,2,26.25,0,0,1
278,0,3,1,18.0,0,0,7.775,0,0,1
279,0,1,1,56.0,0,0,30.6958,1,0,0
280,0,3,1,16.0,0,0,8.05,0,0,1
281,1,1,0,22.0,0,2,49.5,1,0,0
282,0,2,1,31.0,0,0,10.5,0,0,1
283,1,3,1,4.0,1,1,11.1333,0,0,1
284,1,2,0,42.0,0,0,13.0,0,0,1
285,0,3,1,34.0,0,0,6.4958,0,0,1
286,0,2,1,19.0,0,0,13.0,0,0,1
287,1,1,0,33.0,1,0,53.1,0,0,1
288,1,1,0,26.0,0,0,78.85,0,0,1
289,1,3,0,36.0,1,0,17.4,0,0,1
290,0,1,1,21.0,0,1,77.2875,0,0,1
291,1,2,0,33.0,1,2,27.75,0,0,1
292,0,3,1,20.0,0,0,9.8458,0,0,1
293,0,3,1,35.0,0,0,8.05,0,0,1
294,1,1,0,38.0,0,0,227.525,1,0,0
295,0,1,1,71.0,0,0,49.5042,1,0,0
296,0,2,1,33.0,0,0,12.275,0,0,1
297,1,1,0,36.0,1,2,120.0,0,0,1
298,0,3,1,22.0,0,0,8.05,0,0,1
299,0,3,0,20.0,1,0,9.825,0,0,1
300,1,3,0,26.0,0,0,7.8542,0,0,1
301,0,3,1,18.0,0,0,8.3,0,0,1
302,0,3,1,20.0,0,0,7.925,0,0,1
303,0,1,1,61.0,0,0,32.3208,0,0,1
304,0,3,1,30.0,0,0,7.2292,1,0,0
305,1,1,0,39.0,1,1,83.1583,1,0,0
306,1,2,0,3.0,1,2,41.5792,1,0,0
307,0,1,1,71.0,0,0,34.6542,1,0,0
308,1,2,0,34.0,0,0,13.0,0,0,1
309,0,3,1,19.0,0,0,0.0,0,0,1
310,0,3,1,33.0,0,0,7.775,0,0,1
311,0,3,0,39.0,1,5,31.275,0,0,1
312,1,3,0,2.0,0,1,12.2875,0,0,1
313,0,3,1,39.0,0,0,24.15,0,0,1
314,0,2,1,28.0,0,0,13.0,0,0,1
315,1,2,0,19.0,1,0,26.0,0,0,1
316,0,3,1,21.0,0,0,7.7333,0,1,0
317,1,3,0,0.75,2,1,19.2583,1,0,0
318,1,3,0,18.0,0,1,9.35,0,0,1
319,0,3,1,4.0,3,2,27.9,0,0,1
320,1,3,1,25.0,0,0,0.0,0,0,1
321,0,1,1,37.0,1,0,53.1,0,0,1
322,0,3,1,25.0,0,0,7.65,0,0,1
323,1,2,0,28.0,1,0,24.0,1,0,0
324,0,2,1,25.0,0,0,13.0,0,0,1
325,0,3,0,41.0,0,5,39.6875,0,0,1
326,1,3,0,30.0,0,0,12.475,0,0,1
327,0,3,1,11.0,0,0,18.7875,1,0,0
328,0,3,0,22.0,0,0,10.5167,0,0,1
329,1,3,1,18.0,0,0,8.05,0,0,1
330,1,1,1,48.0,0,0,26.55,0,0,1
331,0,3,1,21.0,0,0,7.775,0,0,1
332,0,3,1,28.0,1,0,15.85,0,0,1
333,0,2,1,34.0,1,0,21.0,0,0,1
334,0,3,0,2.0,0,1,10.4625,0,0,1
335,1,3,0,29.0,0,2,15.2458,1,0,0
336,1,2,0,45.0,1,1,26.25,0,0,1
337,0,1,1,45.0,1,0,83.475,0,0,1
338,0,2,1,35.0,0,0,10.5,0,0,1
339,0,1,1,65.0,0,1,61.9792,1,0,0
340,1,1,0,30.0,0,0,86.5,0,0,1
341,0,3,1,36.0,0,0,7.8958,0,0,1
342,0,1,1,42.0,1,0,52.0,0,0,1
343,1,3,1,1.0,1,2,20.575,0,0,1
344,1,1,1,31.0,1,0,57.0,0,0,1
345,1,1,0,23.0,3,2,263.0,0,0,1
346,0,3,1,21.0,0,0,7.8,0,0,1
347,0,3,0,17.0,0,0,14.4583,1,0,0
348,1,2,0,29.0,1,0,26.0,0,0,1
349,0,3,1,42.0,0,0,7.65,0,0,1
350,0,3,1,47.0,0,0,7.25,0,0,1
351,0,1,1,18.0,1,0,108.9,1,0,0
352,0,3,0,25.0,1,0,7.925,0,0,1
353,1,3,1,29.0,0,0,7.8958,1,0,0
354,1,1,0,49.0,0,0,25.9292,0,0,1
355,1,1,0,29.0,0,0,211.3375,0,0,1
356,0,1,1,51.0,0,1,61.3792,1,0,0
357,0,3,1,29.0,0,0,9.4833,0,0,1
358,0,3,1,33.0,0,0,9.5,0,0,1
359,1,2,0,40.0,0,0,15.75,0,0,1
360,0,3,1,22.0,0,0,7.2292,1,0,0
361,0,2,1,48.0,0,0,13.0,0,0,1
362,1,2,1,0.83,1,1,18.75,0,0,1
363,1,2,0,36.0,0,0,13.0,0,0,1
364,0,3,0,39.0,0,5,29.125,0,1,0
365,1,3,0,17.0,4,2,7.925,0,0,1
366,1,3,1,26.0,0,0,56.4958,0,0,1
367,1,1,0,16.0,0,1,57.9792,1,0,0
368,1,2,0,13.0,0,1,19.5,0,0,1
369,1,2,0,28.0,1,0,26.0,0,0,1
370,0,2,1,30.0,0,0,13.0,0,0,1
371,1,1,1,36.0,0,1,512.3292,1,0,0
372,0,3,1,25.0,0,0,7.05,0,0,1
373,0,3,1,43.0,0,0,8.05,0,0,1
374,0,2,1,23.0,0,0,10.5,0,0,1
375,1,3,1,29.0,0,0,9.5,0,0,1
376,0,3,1,40.0,1,1,15.5,0,1,0
377,0,3,1,25.0,1,0,7.775,0,0,1
378,1,1,0,49.0,1,0,76.7292,1,0,0
379,1,1,0,31.0,1,0,113.275,1,0,0
380,1,1,0,24.0,0,0,49.5042,1,0,0
381,0,3,1,28.0,2,0,7.925,0,0,1
382,0,2,1,24.0,0,0,10.5,0,0,1
383,1,3,1,12.0,1,0,11.2417,1,0,0
384,0,3,1,33.0,1,1,20.525,0,0,1
385,0,3,1,45.5,0,0,7.225,1,0,0
386,0,3,1,21.0,0,0,8.4333,0,0,1
387,0,2,1,28.0,0,0,13.5,0,0,1
388,1,1,0,35.0,1,0,52.0,0,0,1
389,1,2,0,33.0,0,2,26.0,0,0,1
390,0,3,1,22.0,0,0,9.35,0,0,1
391,0,3,1,26.0,1,2,20.575,0,0,1
392,0,1,1,19.0,3,2,263.0,0,0,1
393,0,2,1,29.0,1,0,21.0,0,0,1
394,1,3,0,22.0,0,0,7.75,0,1,0
395,1,3,0,0.75,2,1,19.2583,1,0,0
396,0,3,1,51.0,0,0,7.75,0,0,1
397,0,3,1,17.0,0,0,8.6625,0,0,1
398,1,1,1,60.0,1,1,79.2,1,0,0
399,1,2,1,34.0,0,0,13.0,0,0,1
400,1,2,0,50.0,0,1,26.0,0,0,1
401,0,2,1,29.0,1,0,27.7208,1,0,0
402,0,2,1,21.0,0,0,73.5,0,0,1
403,0,3,0,28.0,0,0,7.8958,0,0,1
404,0,2,1,42.0,0,0,13.0,0,0,1
405,0,1,1,37.0,0,1,29.7,1,0,0
406,0,3,0,29.0,0,4,21.075,0,0,1
407,0,3,0,31.0,1,0,18.0,0,0,1
408,1,3,0,26.0,0,0,7.925,0,0,1
409,1,2,0,21.0,0,0,10.5,0,0,1
410,0,3,1,17.0,0,0,8.6625,0,0,1
411,0,3,0,30.0,1,1,24.15,0,0,1
412,0,3,1,1.0,5,2,46.9,0,0,1
413,0,3,1,40.0,0,0,7.8958,0,0,1
414,1,3,0,22.0,0,0,7.75,0,0,1
415,0,1,1,54.0,0,0,51.8625,0,0,1
416,0,2,1,31.0,1,1,26.25,0,0,1
417,0,3,1,74.0,0,0,7.775,0,0,1
418,0,2,1,27.0,0,0,26.0,0,0,1
419,1,1,1,17.0,0,2,110.8833,1,0,0
420,0,3,1,70.5,0,0,7.75,0,1,0
421,0,3,1,22.0,0,0,7.5208,0,0,1
422,1,1,0,53.0,2,0,51.4792,0,0,1
423,0,3,0,23.0,0,0,7.925,0,0,1
424,1,1,0,52.0,1,0,78.2667,1,0,0
425,1,2,0,17.0,0,0,10.5,0,0,1
426,0,3,1,30.5,0,0,8.05,0,0,1
427,1,2,0,5.0,1,2,27.75,0,0,1
428,0,1,1,64.0,0,0,26.0,0,0,1
429,0,3,1,38.0,0,0,7.05,0,0,1
430,0,3,1,18.0,0,0,7.75,0,0,1
431,1,2,0,30.0,0,0,13.0,0,0,1
432,1,3,1,20.0,1,1,15.7417,1,0,0
433,0,1,1,49.0,1,1,110.8833,1,0,0
434,1,2,0,24.0,0,2,14.5,0,0,1
435,0,3,1,23.0,0,0,7.8958,0,0,1
436,0,3,0,48.0,1,3,34.375,0,0,1
437,0,2,1,66.0,0,0,10.5,0,0,1
438,0,3,1,19.0,0,0,7.775,0,0,1
439,1,1,1,35.0,0,0,26.55,1,0,0
440,0,2,1,23.0,2,1,11.5,0,0,1
441,0,3,1,34.5,0,0,6.4375,1,0,0
442,0,1,1,44.0,2,0,90.0,0,1,0
443,1,2,0,2.0,1,1,26.0,0,0,1
444,0,2,1,19.0,0,0,10.5,0,0,1
445,1,1,1,50.0,2,0,133.65,0,0,1
446,1,1,1,51.0,0,0,26.55,0,0,1
447,1,1,0,48.0,0,0,25.9292,0,0,1
448,0,2,1,30.0,1,0,24.0,1,0,0
449,1,3,1,44.0,0,0,7.925,0,0,1
450,1,2,0,48.0,1,2,65.0,0,0,1
451,1,2,0,24.0,2,3,18.75,0,0,1
452,0,3,1,1.0,4,1,39.6875,0,0,1
453,1,3,1,32.0,0,0,8.05,0,0,1
454,0,3,1,7.0,4,1,39.6875,0,0,1
455,0,2,1,70.0,0,0,10.5,0,0,1
456,1,1,1,38.0,1,0,90.0,0,0,1
457,0,3,1,42.0,0,1,8.4042,0,0,1
458,1,1,0,30.0,0,0,93.5,0,0,1
459,1,2,0,32.5,0,0,13.0,0,0,1
460,1,2,1,0.83,0,2,29.0,0,0,1
461,0,2,1,36.0,0,0,12.875,1,0,0
462,0,3,1,25.0,0,0,7.225,1,0,0
463,0,3,0,22.0,0,0,9.8375,0,0,1
464,0,1,1,45.0,0,0,26.55,0,0,1
465,0,3,1,22.0,0,0,8.05,0,0,1
466,1,1,1,26.0,0,0,30.0,1,0,0
467,0,3,1,28.0,0,0,7.8958,0,0,1
468,1,1,0,44.0,0,0,27.7208,1,0,0
469,1,2,0,34.0,0,0,10.5,0,0,1
470,1,1,0,19.0,0,2,26.2833,0,0,1
471,0,2,1,32.5,1,0,30.0708,1,0,0
472,0,3,1,21.0,0,0,8.6625,0,0,1
473,0,3,1,27.0,1,0,14.4542,1,0,0
474,1,1,0,54.0,1,0,78.2667,1,0,0
475,0,2,1,36.0,0,0,13.0,0,0,1
476,1,3,1,32.0,0,0,7.8542,0,0,1
477,0,2,1,39.0,0,0,13.0,0,0,1
478,1,3,0,38.0,1,5,31.3875,0,0,1
479,0,3,0,14.0,0,0,7.8542,0,0,1
480,1,2,0,40.0,0,0,13.0,0,0,1
481,1,3,0,24.0,1,0,15.85,0,0,1
482,0,3,1,26.0,2,0,8.6625,0,0,1
483,1,1,0,36.0,0,2,71.0,0,0,1
484,0,1,1,30.0,0,0,27.75,1,0,0
485,1,3,1,3.0,1,1,15.9,0,0,1
486,0,3,1,19.0,0,0,7.8958,0,0,1
487,0,3,1,19.0,0,0,7.65,0,0,1
488,0,2,1,57.0,0,0,12.35,0,1,0
489,0,3,1,14.0,4,1,39.6875,0,0,1
490,1,3,1,27.0,0,0,7.7958,0,0,1
491,1,2,0,29.0,0,0,10.5,0,0,1
492,0,3,1,28.0,0,0,7.8958,0,0,1
493,1,2,0,30.0,3,0,21.0,0,0,1
494,0,3,1,18.0,1,0,6.4958,0,0,1
495,0,3,1,36.0,0,0,7.4958,0,0,1
496,1,3,0,63.0,0,0,9.5875,0,0,1
497,1,1,0,22.0,0,1,55.0,0,0,1
498,0,2,1,16.0,0,0,10.5,0,0,1
499,1,3,1,6.0,0,1,12.475,0,0,1
500,0,3,1,40.0,0,0,7.225,1,0,0
501,0,3,1,34.0,0,0,8.05,0,0,1
502,0,1,1,36.0,1,0,78.85,0,0,1
503,1,3,1,27.0,0,0,6.975,0,0,1
504,0,1,1,19.0,1,0,53.1,0,0,1
505,0,2,1,34.0,0,0,13.0,0,0,1
506,1,3,0,27.0,0,2,11.1333,0,0,1
507,0,1,1,22.0,0,0,135.6333,1,0,0
508,0,2,1,60.0,1,1,39.0,0,0,1
509,1,2,0,30.0,0,0,12.35,0,1,0
510,0,2,1,24.0,0,0,13.0,0,0,1
511,0,1,1,58.0,0,0,29.7,1,0,0
512,0,2,1,31.0,1,1,37.0042,1,0,0
513,0,3,1,40.5,0,2,14.5,0,0,1
514,0,3,0,20.0,0,0,8.6625,0,0,1
515,1,1,1,28.0,0,0,26.55,0,0,1
516,0,3,0,16.0,5,2,46.9,0,0,1
517,0,3,1,28.0,0,0,9.5,0,0,1
518,0,3,1,31.0,0,0,7.75,0,1,0
519,1,3,0,14.0,1,0,11.2417,1,0,0
520,1,1,0,17.0,1,0,108.9,1,0,0
521,1,1,1,36.0,0,0,26.2875,0,0,1
522,1,1,0,39.0,1,1,110.8833,1,0,0
523,1,2,1,42.0,0,0,13.0,0,0,1
524,1,1,1,32.0,0,0,30.5,1,0,0
525,0,3,0,32.0,1,1,15.5,0,1,0
526,1,3,0,24.0,0,3,19.2583,1,0,0
527,1,2,0,4.0,2,1,39.0,0,0,1
